,"label","type","item","offset","level","lang","unit","question","info","comment"
1,"Bank_Relationships","logical",14,1,0,"en",,"From which of the banks listed below do you have at least 1 bank product?NOTE: THIS QUESTION IS NOT SHOWN IN THE SURVEY - DATA ARE TAKEN FROM SCREENER",,"60|1129(M)"
2,"Main_Bank","factor",1,15,14,"en",,"Which bank is your main bank?NOTE: THIS QUESTION IS NOT SHOWN IN THE SURVEY - DATA ARE TAKEN FROM SCREENER!",,"60|1130(L)"
3,"Duration","factor",1,16,6,"en",,"How long have you been a customer of your current main bank?",,"60|1149(L)"
4,"Usage_Products-Axa Bank","logical",7,17,0,"en",,"Which of the following products do you use at which bank? [Axa Bank]",,"60|1152(:)"
5,"Usage_Products-Allianz Bank","logical",7,24,0,"en",,"Which of the following products do you use at which bank? [Allianz Bank]",,"60|1152(:)"
6,"Usage_Products-Budapest Bank","logical",7,31,0,"en",,"Which of the following products do you use at which bank? [Budapest Bank]",,"60|1152(:)"
7,"Usage_Products-CIB","logical",7,38,0,"en",,"Which of the following products do you use at which bank? [CIB]",,"60|1152(:)"
8,"Usage_Products-Citibank","logical",7,45,0,"en",,"Which of the following products do you use at which bank? [Citibank]",,"60|1152(:)"
9,"Usage_Products-FHB","logical",7,52,0,"en",,"Which of the following products do you use at which bank? [FHB]",,"60|1152(:)"
10,"Usage_Products-K&H","logical",7,59,0,"en",,"Which of the following products do you use at which bank? [K&H]",,"60|1152(:)"
11,"Usage_Products-MKB","logical",7,66,0,"en",,"Which of the following products do you use at which bank? [MKB]",,"60|1152(:)"
12,"Usage_Products-OTP","logical",7,73,0,"en",,"Which of the following products do you use at which bank? [OTP]",,"60|1152(:)"
13,"Usage_Products-Raiffeisenbank","logical",7,80,0,"en",,"Which of the following products do you use at which bank? [Raiffeisenbank]",,"60|1152(:)"
14,"Usage_Products-Takarékszövetkezet","logical",7,87,0,"en",,"Which of the following products do you use at which bank? [Takarékszövetkezet]",,"60|1152(:)"
15,"Usage_Products-UniCredit","logical",7,94,0,"en",,"Which of the following products do you use at which bank? [UniCredit]",,"60|1152(:)"
16,"Usage_Products-Erste Bank","logical",7,101,0,"en",,"Which of the following products do you use at which bank? [Erste Bank]",,"60|1152(:)"
17,"Usage_Products-Other Bank","logical",7,108,0,"en",,"Which of the following products do you use at which bank? [Other Bank]",,"60|1152(:)"
18,"Usage_Products-Salary account, current account","logical",14,115,0,"en",,"Which of the following products do you use at which bank? [Salary account, current account]",,"60|1152(:)"
19,"Usage_Products-Credit card","logical",14,129,0,"en",,"Which of the following products do you use at which bank? [Credit card]",,"60|1152(:)"
20,"Usage_Products-Savings account, passbook","logical",14,143,0,"en",,"Which of the following products do you use at which bank? [Savings account, passbook]",,"60|1152(:)"
21,"Usage_Products-Loan, financing","logical",14,157,0,"en",,"Which of the following products do you use at which bank? [Loan, financing]",,"60|1152(:)"
22,"Usage_Products-Securities","logical",14,171,0,"en",,"Which of the following products do you use at which bank? [Securities]",,"60|1152(:)"
23,"Usage_Products-Building society savings","logical",14,185,0,"en",,"Which of the following products do you use at which bank? [Building society savings]",,"60|1152(:)"
24,"Usage_Products-Another product","logical",14,199,0,"en",,"Which of the following products do you use at which bank? [Another product]",,"60|1152(:)"
25,"Internal_Segment","factor",1,213,4,"en",,"How high is the total volume of your investments with all your banks?",,"60|1156(L)"
26,"Reasons_Multibank","logical",7,214,0,"en",,"Why do you use the services of several banks?",,"60|1150(M)"
27,"Debitcard_Payments","factor",1,221,7,"en",,"How often do you pay your purchases using your debit card?",,"60|1137(L)"
28,"Creditcard_payments","factor",1,222,7,"en",,"How often do you pay with your credit card?",,"60|1164(L)"
29,"Product_Type","order",3,223,0,"en",,"How interesting would you find the following accounts? Please sort the options, with the most interesting first and the least interesting last.  Type A - Single chargesSalary account with a low account-keeping fee and costs for each individual service and transaction type charged as actually incurred (e.g. debit card, various transaction types such as online, card and cash desk transactions). Type B - Individual account packageSalary account with low account-keeping fee, with the customer selecting in advance individual services and types of transactions for a flat fee. The costs for any services not covered by this package are charged as incurred. Type C - Standard account package Salary account with a higher account-keeping fee. The bank puts together an account package to include the services and transaction types most often used on a regular basis and charges a flat fee for the entire package. The costs for any services not covered by this package are charged as incurred.",,"60|1143(R)"
30,"Billing_Period","factor",1,226,3,"en",,"Which of the salary account offers below do you spontaneously like most?",,"60|1138(L)"
31,"Banks","order",9,227,0,"en",,"Sort the following banks by their attractiveness for you as account-keeping banks! Please read the available answers first and then sort the banks by clicking onto the applicable response. Begin with the most attractive and end with the least attractive bank.",,"56|1124(R)"
32,"Usage_Channels","logical",5,236,0,"en",,"When considering the various access channels to your salary account, which of the channels listed below do you use (e.g. for querying your account balances or credit transfers)?",,"56|1131(M)"
