,2,3,25,27,28,30,34,36,38,39,40,41,44,50,51,52,53,54,55,56,57,58,59,60,61,62
1,"Axa Bank","Less than 1 year","Assets below 10.000.000","Daily","Daily","Account keeping for HUF 3.000 per quarter debit card for HUF 600 per quarter","Very interesting","Very interesting","Very interesting","Very interesting","Very interesting","Very likely","Free account keeping for 1 year","Yes, very often","Daily","0 to 5 transactions per month","20 to 29 years","Female","Single",1,"Up to 1,000 inhabitants","Elementary school","Skilled worker","Less than HUF 60,000","West Transdanubia","Yes, I use a smart phone"
2,"Allianz Bank","1 to 2 years","Assets between HUF 10.000.000 and HUF 50.000.000","Several times a week","Several times a week","Account keeping for HUF 1.000 per month debit card for HUF 200 per month","Rather interesting","Rather interesting","Rather interesting","Rather interesting","Rather interesting","Rather likely","Starting balance in my account","Yes, often","Several times a week","6 to 10 transactions per month","30 to 39 years","Male","In civil partnership",2,"1,001 to 5,000 inhabitants","Technical/professional school","Unskilled worker","HUF 60,000 to 89,999","Middle Transdanubia","No, but I am planning to get a smart phone"
3,"Budapest Bank","3 to 5 years","Assets above HUF 50.000.000","Several times a month (2 to 4 times)","Several times a month (2 to 4 times)","Account keeping for HUF 12.000 per year debit card for HUF 2.400 per year","Rather uninteresting","Rather uninteresting","Rather uninteresting","Rather uninteresting","Rather uninteresting","Rather unlikely","Starting balance on my credit card","Yes, sometimes","Several times a month (2 to 4 times)","11 to 20 transactions per month","40 to 49 years",,"Married",3,"5,001 to 10.000 inhabitants","Grammer school","Seasonal worker","HUF 90,000 to 119,000","South Transdanubia","No, and I am not planning to get a smart phone"
4,"CIB","6 to 10 years","I do not wish to say","Once a month","Once a month",,"Very uninteresting","Very uninteresting","Very uninteresting","Very uninteresting","Very uninteresting","Very unlikely","Voucher for discounts for other bank products","No, never","Once a month","21 to 30 transactions per month","50 to 59 years",,"Divorced",4,"10,001 to 25,000 inhabitants","Secondary school","Apprentice","HUF 120,000 to 149,999","North Hungary",
5,"Citibank","11 to 20 years",,"Once every quarter of a year","Once every quarter of a year",,,,,,,,"Bonus in my salary account when purchasing other bank products","I do not wish to say","Once every quarter of a year","More than 30 transactions per month",,,"Widowed",5,"25,001 to 50,000 inhabitants","College","Executive employee","HUF 150,000 to 199,999","Middle Hungary",
6,"FHB","more than 20 years",,"Less often than once every quarter of a year","Less often than once every quarter of a year",,,,,,,,"Non-bank vouchers from partner companies",,"Less often than once every quarter of a year","I don't know",,,,"more than 5","50,001 to 100,000 inhabitants","University","Other employee","HUF 200,000 to 299,999","North Lowland",
7,"K&H",,,"Never","Never",,,,,,,,"other",,"Never",,,,,,"100,001 to 500,000 inhabitants",,"Public service","More than HUF 300,000","South Lowland",
8,"MKB",,,,,,,,,,,,,,,,,,,,"over 500,000 inhabitants",,,,"Budapest",
9,"OTP",,,,,,,,,,,,,,,,,,,,,,,,,
10,"Raiffeisenbank",,,,,,,,,,,,,,,,,,,,,,,,,
11,"Takarékszövetkezet",,,,,,,,,,,,,,,,,,,,,,,,,
12,"UniCredit",,,,,,,,,,,,,,,,,,,,,,,,,
13,"Erste Bank",,,,,,,,,,,,,,,,,,,,,,,,,
14,"Other Bank",,,,,,,,,,,,,,,,,,,,,,,,,
